"Product SKU","Product Name","Price","Quantity","marka","god","baltika","naznachenie","primmenenie"
"8055","RK8055","1520","107","FORD FOCUS","1998-2011","СОСТАВ: 
ЛЕВЫЙ:         F-00844 	25*37.54*7  
ПРАВЫЙ 1:   F-00844 	25*37.54*7
ПРАВЫЙ 2:    F-00534 	25*41.5*7.5
НИЗ 1:    F-00758 	23.3*29.8*4.5 
НИЗ 2:    F-00433 	28.6*37.6*5
ВЕРХ 1:     F-00720 	20.6*41.2*6.3
ВЕРХ 2:    F-00039 	19*34.6*4.4/5.9
ПЫЛЬНИК:  F-00815 	  20.5*46*3.3/5
РЕЗИНКА:    40*2.5","",""
"8054","RK8054","1420","45","LAND ROVER DISCOVERY III","2004-2009","СОСТАВ: 
ЛЕВЫЙ:      F-00033 	30*42.5*7 
ПРАВЫЙ:   F-00033 	30*42.5*7
НИЗ:         F-00758 	23.3*29.8*4.5
ВЕРХ:      F-00109 	20*42.5*7/7.8
РЕЗИНКА:    43*3
ПЫЛЬНИК:   F-00191  	20*44*4.5","",""
"8053","RK8053","1360","58","CHRYSLER VOYAGER IV","1999-2008","СОСТАВ: 
ЛЕВЫЙ:    F-00488 	25*38.5/45*4/10   
ПРАВЫЙ:   F-00488 	25*38.5/45*4/10
НИЗ:      F-00086 	23.3*30*4/6.7
ВЕРХ:   F-00037 	19*34.6*6.2/9.2
РЕЗИНКА:   37*2","",""
"8052","RK8052","1360","55","CHRYSLER VOYAGER III","1995-2001","СОСТАВ: 
ЛЕВЫЙ:       F-00369 	25*37.54/41.24*4.2/7.4
ПРАВЫЙ:   F-00369 	25*37.54/41.24*4.2/7.4
НИЗ:      F-00086 	23.3*30*4/6.7
ВЕРХ:   F-00037 	19*34.6*6.2/9.2
РЕЗИНКА:   37*2","",""
"8051","RK8051","1280","117","VW GOLF III","1991-1999","СОСТАВ: 
ЛЕВЫЙ:     F-00642 	23*34.3/38*3.2/7.4  
ПРАВЫЙ:   F-00396 	23*34.5*6.5
НИЗ:       F-00086 	23.3*30*4/6.7
ВЕРХ:   F-00040 	19*34.6*4.4/5.9
РЕЗИНКА:   34*2.5","",""
"8050","RK8050","1280","115","VW PASSAT B3","1988-1994","СОСТАВ: 
ЛЕВЫЙ:     F-00642 	23*34.3/38*3.2/7.4  
ПРАВЫЙ:   F-00396 	23*34.5*6.5
НИЗ:       F-00086 	23.3*30*4/6.7
ВЕРХ:   F-00040 	19*34.6*4.4/5.9
РЕЗИНКА:   34*2.5","",""
"8049","RK8049","1320","27","MITSUBISHI SPACE WAGON","1997-2004","СОСТАВ: 
ЛЕВЫЙ:      F-01170 	26*38*8.5 
ПРАВЫЙ:   F-00447 	26*42.5*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:  3.5*1.5  ( 4шт.), 35*2.3, 38*2.3","",""
"8048","RK8048","1320","30","MITSUBISHI LANCER","2000-2015","СОСТАВ: 
ЛЕВЫЙ:      F-01170 	26*38*8.5 
ПРАВЫЙ:   F-00447 	26*42.5*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:  3.5*1.5  ( 4шт.), 35*2.3, 38*2.3","",""
"8047","RK8047","1320","29","MITSUBISHI DION","1999-2005","СОСТАВ: 
ЛЕВЫЙ:      F-01170 	26*38*8.5 
ПРАВЫЙ:   F-00447 	26*42.5*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:  3.5*1.5  ( 4шт.), 35*2.3, 38*2.3","",""
"8046","RK8046","1320","33","MITSUBISHI CHARIOT","1997-2003","СОСТАВ: 
ЛЕВЫЙ:      F-01170 	26*38*8.5 
ПРАВЫЙ:   F-00447 	26*42.5*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:  3.5*1.5  ( 4шт.), 35*2.3, 38*2.3","",""
"8045","RK8045","1320","41","MITSUBISHI OUTLANDER","2001-2008","СОСТАВ: 
ЛЕВЫЙ:      F-01170 	26*38*8.5 
ПРАВЫЙ:   F-00447 	26*42.5*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:  3.5*1.5  ( 4шт.), 35*2.3, 38*2.3","",""
"8044","RK8044","1320","37","MITSUBISHI AIRTREK","2001-2005","СОСТАВ: 
ЛЕВЫЙ:      F-01170 	26*38*8.5 
ПРАВЫЙ:   F-00447 	26*42.5*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:  3.5*1.5  ( 4шт.), 35*2.3, 38*2.3","",""
"8043","RK8043","1480","81","MERCEDES VITO (W638)","1996-2003","СОСТАВ: 
ЛЕВЫЙ:     F-00103M 	32*44.5*6.5  
ПРАВЫЙ:   F-00103M 	32*44.5*6.5
НИЗ 1:       F-00367 	27*36*5.5
НИЗ 2:    F-00118 	23.3*29.8*4.5
ВЕРХ 1:   F-00109 	20*42.5*7/7.8
ВЕРХ 2:   F-00037 	19*34.6*6.2/9.2
ПЫЛЬНИК 1:   F-00191 	20*44*4.5
ПЫЛЬНИК 2:   F-00041 	14.6*35*4.7
РЕЗИНКА:  47*3.5","",""
"8042","RK8042","1340","98","BMW 5 ( E39 )","1995-2003","СОСТАВ: 
ЛЕВЫЙ:      F-00378 	28*38*7/9 
ПРАВЫЙ:   F-00378 	28*38*7/9
НИЗ 1:    F-01158 	24*37*7
НИЗ 2:    F-00479 	28*38*7
ВЕРХ:   F-01159 	20*30*5/6
РЕЗИНКА:  40*3, 34*2.5, 13*2.5 (4шт.)
ВТУЛКА:  28*38 (2шт.)","",""
"8041","RK8041","1360","35","VOLVO XC90","2002-2014","СОСТАВ: 
ЛЕВЫЙ:     F-00492 	28*39*15  
ПРАВЫЙ:   F-01048 	28*38*7 
НИЗ:   F-00358 	29*43*7   
ВЕРХ:   F-00978 	20*30*5/6
РЕЗИНКА:   38*3","",""
"8040","RK8040","1480","108","MERCEDES SPRINTER","1995-2006","СОСТАВ: 
ЛЕВЫЙ:     F-00103M 	32*44.5*6.5  
ПРАВЫЙ:   F-00103M 	32*44.5*6.5
НИЗ 1:       F-00422 	        25*34*7
НИЗ 2:    F-00118 	23.3*29.8*4.5
ВЕРХ 1:   F-00109 	20*42.5*7/7.8
ВЕРХ 2:   F-00037 	19*34.6*6.2/9.2
ПЫЛЬНИК 1:   F-00191 	20*44*4.5
ПЫЛЬНИК 2:   F-00041 	14.6*35*4.7
РЕЗИНКА:  47*3.5","",""
"8039","RK8039","1380","83","VW TRANSPORTER V","2003-2015","СОСТАВ: 
ЛЕВЫЙ:      F-00492  	28*39*15 
ПРАВЫЙ:   F-01048 	         28*38*7 
НИЗ:            F-00031 	  25*38*7 
ВЕРХ:              F-00681 	  20*30*5/6
РЕЗИНКА:          38*3, 47*2
ВТУЛКА:             28*38 (2шт.)","",""
"8038","RK8038","1360","113","VW TRANSPORTER IV","1990-2003","СОСТАВ: 
ЛЕВЫЙ:   F-00378 	28*38*7/9    
ПРАВЫЙ:   F-00378 	28*38*7/9
НИЗ:    F-00124 	26*37*7   
ВЕРХ:   F-00681 	20*30*5/6
РЕЗИНКА:  43*3, 34*2.5
ВТУЛКА:   28*38 (2шт.)","",""
"8037","RK8037","1320","51","HONDA RIDGELINE","2005-2013","СОСТАВ: 
ЛЕВЫЙ:    F-01154 	26*48*8.5   
ПРАВЫЙ:   F-01154 	26*48*8.5
НИЗ:  F-00408 	27*38*5.5    
ВЕРХ:   F-00993 	19*30*5/5.7
РЕЗИНКА:    3","",""
"8036","RK8036","1380","48","TOYOTA HILUX","2005-2015","СОСТАВ: 
ЛЕВЫЙ:     F-00801 	       30*48*8  
ПРАВЫЙ:   F-00801 	      30*48*8
НИЗ:           F-00742      	32.7*42.7*6.7
ВЕРХ:          F-00459 	        19*29*7/7.8
РЕЗИНКА:    3","",""
"8035","RK8035","1360","37","TOYOTA HIGHLANDER","2000-2007","СОСТАВ: 
ЛЕВЫЙ:       F-00267 	27*44*8.5
ПРАВЫЙ:   F-00877 	27*41*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00779 	19*32*6/7
РЕЗИНКА:   3","",""
"8034","RK8034","1380","55","LEXUS GS II","1997-2005","СОСТАВ: 
ЛЕВЫЙ:       F-00540XX 	26.5*42.5*8
ПРАВЫЙ:   F-00540XX 	26.5*42.5*8
НИЗ:      F-00096 	25*38*7/8
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:   3","",""
"8033","RK8033","1340","38","LEXUS LS400 II","1994-2000","СОСТАВ: 
ЛЕВЫЙ:       F-00922 	26.5*44*8
ПРАВЫЙ:    F-00922 	 26.5*44*8
НИЗ:      F-00209 	30*41*6.5
ВЕРХ:   F-00779 	19*32*6/7
РЕЗИНКА:   3","",""
"8032","RK8032","1380","94","MERCEDES E ( W210 )","1995-2002","СОСТАВ: 
ЛЕВЫЙ:    F-00378 	28*38*7/9   
ПРАВЫЙ:   F-00378 	28*38*7/9
НИЗ:    F-00981 	28*38*7  
ВЕРХ:   F-00681 	20*30*5/6
РЕЗИНКА:  41*4, 47*2, 31*2.5 (2шт.)
ВТУЛКА:  28*38 (2шт.)","",""
"8031","RK8031","1300","85","HYUNDAI SANTA FE","2000-2006","СОСТАВ: 
ЛЕВЫЙ:    F-00872 	27.7*46*13/14   
ПРАВЫЙ:   F-00950 	27.7*42*9/10
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-01072 	19*32*6/7
РЕЗИНКА:   41*3","",""
"8030","RK8030","1380","33","SUBARU LEGASY III","1998-2003","СОСТАВ: 
ЛЕВЫЙ:     F-00612 	24*38*8  
ПРАВЫЙ:   F-00651 	24*35*8.5 
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:  34*2.5","",""
"8029","RK8029","1340","24","MITSUBISHI DELICA","1994-2006","СОСТАВ: 
ЛЕВЫЙ:       F-00624 	 27.7*46*13/14
ПРАВЫЙ:   F-00268 	27.7*42*12.5
НИЗ 1:      F-00206   26*38*6.5 
НИЗ 2:     F-00096 	25*38*7/8
ВЕРХ:   F-01072 	 19*32*6/7
РЕЗИНКА:   3","",""
"8028","RK8028","1420","55","FORD TRANSIT V","1994-2000","СОСТАВ: 
ЛЕВЫЙ:       F-00062 	30*40*7
ПРАВЫЙ:   F-00062 	30*40*7
НИЗ 1:     F-01158 	24*37*7
НИЗ 2:    F-00675 	26*37*7 
ВЕРХ:   F-00759 	22*32*5/5.5
РЕЗИНКА: 41*4
ВТУЛКА:  30*40 - 2шт.","",""
"8027","RK8027","1420","61","FORD TRANSIT IV","1991-1994","СОСТАВ: 
ЛЕВЫЙ:       F-00062 	30*40*7
ПРАВЫЙ:   F-00062 	30*40*7
НИЗ 1:     F-01158 	24*37*7
НИЗ 2:    F-00675 	26*37*7 
ВЕРХ:   F-00759 	22*32*5/5.5
РЕЗИНКА: 41*4
ВТУЛКА:  30*40 - 2шт.","",""
"8026","RK8026","1320","53","RENAULT TRAFIC II","2001-2014","СОСТАВ: 
ЛЕВЫЙ:      F-00766 	27.7*45*8.5 
ПРАВЫЙ:   F-00765 	27.7*38*8 
НИЗ:      F-00141 	25.7*35.5*7/8
ВЕРХ:   F-00886 	19*37*6.5/8
РЕЗИНКА:   41*3","",""
"8025","RK8025","1320","38","OPEL VIVARO","2001-2014","СОСТАВ: 
ЛЕВЫЙ:      F-00766 	27.7*45*8.5 
ПРАВЫЙ:   F-00765 	27.7*38*8 
НИЗ:      F-00141 	25.7*35.5*7/8
ВЕРХ:   F-00886 	19*37*6.5/8
РЕЗИНКА:   41*3","",""
"8024","RK8024","1360","58","MITSUBISHI MONTERO IV","2006-2015","СОСТАВ: 
ЛЕВЫЙ:     F-00902 	 32*50*8.5    
ПРАВЫЙ:   F-00276 	32*46*8.5
НИЗ:     F-00206 	26*38*6.5  
ВЕРХ:   F-01072 	19*32*6/7
РЕЗИНКА:    45*3","",""
"8023","RK8023","1360","44","MITSUBISHI PAJERO IV","2006-2015","СОСТАВ: 
ЛЕВЫЙ:     F-00902 	 32*50*8.5    
ПРАВЫЙ:   F-00276 	32*46*8.5
НИЗ:     F-00206 	26*38*6.5  
ВЕРХ:   F-01072 	19*32*6/7
РЕЗИНКА:    45*3","",""
"8022","RK8022","1340","37","OPEL FRONTERA B","1998-2004","СОСТАВ: 
ЛЕВЫЙ:    F-00267 	27*44*8.5   
ПРАВЫЙ:   F-00877 	27*41*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:   3шт. - любые.","",""
"8021","RK8021","1380","54","RENAULT SYMBOL","1998-2009","СОСТАВ:   
ЛЕВЫЙ:       F-00642 	23*34.3/38*3.2/7.4
ПРАВЫЙ:   F-00642 	23*34.3/38*3.2/7.4
НИЗ:           F-00113 	 28*47*4.2/5  
ВЕРХ:       F-00039 	   19*34.6*4.4/5.9
РЕЗИНКА:  33*3","",""
"8020","RK8020","1380","61","RENAULT CLIO II","1998-2009","СОСТАВ:   
ЛЕВЫЙ:       F-00642 	23*34.3/38*3.2/7.4
ПРАВЫЙ:   F-00642 	23*34.3/38*3.2/7.4
НИЗ:           F-00113 	 28*47*4.2/5  
ВЕРХ:       F-00039 	   19*34.6*4.4/5.9
РЕЗИНКА:  33*3","",""
"8019","RK8019","1360","49","FORD GALAXY","1995-2006","СОСТАВ: 
ЛЕВЫЙ:      F-00022 	28*39.64*6.35 
ПРАВЫЙ:   F-00022 	28*39.64*6.35
НИЗ:      F-00758 	23.3*29.8*4.5
ВЕРХ:   F-00109 	20*42.5*7/7.8
ПЫЛЬНИК:   F-00191 	20*44*4.5
РЕЗИНКА:   39*3, 41*3","",""
"8018","RK8018","1360","45","VW SHARAN","1995-2010","СОСТАВ: 
ЛЕВЫЙ:      F-00022 	28*39.64*6.35 
ПРАВЫЙ:   F-00022 	28*39.64*6.35
НИЗ:      F-00758 	23.3*29.8*4.5
ВЕРХ:   F-00109 	20*42.5*7/7.8
ПЫЛЬНИК:   F-00191 	20*44*4.5
РЕЗИНКА:   39*3, 41*3","",""
"8017","RK8017","1380","38","HAMMER H3","2005-2010","СОСТАВ: 
ЛЕВЫЙ:       F-01223 	30*50*9/10
ПРАВЫЙ:   F-01223 	30*50*9/10
НИЗ:     F-00206 	26*38*6.5  
ВЕРХ:   F-01072 	19*32*6/7
РЕЗИНКА: 3шт. - любые","",""
"8016","RK8016","1340","67","SKODA OKTAVIA","1996-2010","СОСТАВ: 
ЛЕВЫЙ:       F-00397 	24*39*8.5/16.5
ПРАВЫЙ:   F-00095 	24*37*8 
НИЗ:      F-00682 	28*37*5 
ВЕРХ:   F-00089 	24*33*5/5.5 
РЕЗИНКА:  34*3","",""
"8015","RK8015","1340","84","VW GOLF IV","1997-2006","СОСТАВ: 
ЛЕВЫЙ:       F-00397 	24*39*8.5/16.5
ПРАВЫЙ:   F-00095 	24*37*8 
НИЗ:      F-00682 	28*37*5 
ВЕРХ:   F-00089 	24*33*5/5.5 
РЕЗИНКА:  34*3","",""
"8014","RK8014","1280","62","BMW 3 ( E36 )","1990-1999","СОСТАВ: 
ЛЕВЫЙ:      F-00378 	28*38*7/9 
ПРАВЫЙ:   F-00378 	28*38*7/9
НИЗ:    F-00048 	24*37*7  
ВЕРХ:   F-00681 	20*30*5/6
РЕЗИНКА: 40*3, 34*2.5","",""
"8013","RK8013","1360","58","NISSAN PRIMERA ( WP12 )","2002-2015","СОСТАВ: 
ЛЕВЫЙ:       F-00844 	25*37.54*7
ПРАВЫЙ:   F-00844 	25*37.54*7
НИЗ:      F-00113 	28*47*4.2/5
ВЕРХ:   F-00484 	19*29*4.5/5
РЕЗИНКА:  41*3","",""
"8012","RK8012","1360","76","NISSAN PRIMERA ( P12 )","2001-2007","СОСТАВ: 
ЛЕВЫЙ:       F-00844 	25*37.54*7
ПРАВЫЙ:   F-00844 	25*37.54*7
НИЗ:      F-00113 	28*47*4.2/5
ВЕРХ:   F-00484 	19*29*4.5/5
РЕЗИНКА:  41*3","",""
"8011","RK8011","1380","44","KIA SPECTRA","2001-2004","СОСТАВ: 
ЛЕВЫЙ:  F-00844 	25*37.54*7     
ПРАВЫЙ:   F-00714 	25*43*9 
НИЗ:      F-00130 	23.3*30*4/6.7
ВЕРХ:   F-00011 	19*34.6*6.2/9.2
РЕЗИНКА:  3шт. - Любые.","",""
"8010","RK8010","1340","65","AUDI A4 (KOYO)","2000-2004","СОСТАВ: 
ЛЕВЫЙ:         F-00128 	27.7*39*8.5 
ПРАВЫЙ:        F-00765 	27.7*38*8 
НИЗ:                F-00141 	25.7*35.5*7/8
ВЕРХ:              F-00886 	19*37*6.5/8 
РЕЗИНКА:      34*3.5","",""
"8009","RK8009","1380","74","AUDI A4 (ZF)","2000-2004","СОСТАВ: 
ЛЕВЫЙ:       F-00492 	28*39*15    
ПРАВЫЙ:     F-00404 	28*38*7 
НИЗ:             F-00682 	28*37*5  
ВЕРХ:            F-00681 	20*30*5/6
РЕЗИНКА:    39*3,  34*2.5
ВТУЛКИ :  28*38 - 2ШТ.","",""
"8008","RK8008","1320","58","CHEVROLET LACETTI","2003-2014","СОСТАВ: 
ЛЕВЫЙ:      F-00661 	25*42.5*12.5   
ПРАВЫЙ:    F-00406 	25*35*4/6.5
НИЗ:             F-00101 	27*37*3.5/7
ВЕРХ:            F-00186 	20*40*6
РЕЗИНКА:    39*3","",""
"8007","RK8007","1340","24","FORD EXPLORER","1994-2003","СОСТАВ: 
ВЕРХ:    F-00720 	   20.6*41.2*6.3
НИЗ:      F-00196  	25*34*7
ЛЕВЫЙ: F-00289 	31*43.5*6.5
ПРАВЫЙ: F-00290 	31*43.7/48*4.5/8.5
РЕЗИНКА:  Разные 3шт.","Ремкомплект рулевой рейки.",""
"8006","RK8006","1300","45","OPEL ZAFIRA","1998-2005","СОСТАВ: 
ВЕРХ: 19*34.6*6.2/9.2   F-00011
НИЗ: 23.3*29.8*4.5   F-01065
ЛЕВЫЙ: 25*37.54*7   F-00243M.
ПРАВЫЙ: 25*37.54*7   F-00243M.
РЕЗИНКА: 39*3","Ремкомплект рулевой рейки. 
",""
"8005","RK8005","1320","35","FORD TRANSIT","2000-2006","СОСТАВ: 
ВЕРХ:           F-00037 	 19*34.6*6.2/9.2 	
НИЗ:             F-00758 	23.3*29.8*4.5
ЛЕВЫЙ:       F-00417 	 30*42.5*7
ПРАВЫЙ:     F-00417 	 30*42.5*7
РЕЗИНКА:    43*3.5","",""